asset_number,manufacturer,category,size,manufacturing_date,asset_name,decommissioned_date
SAID-0012301,Manitowoc Ice,"Ice Maker, Self Contained",80,7/12/2024,UDE0080A,-
SAID-0010125,"Hoshizaki America, Inc.",Stand,0,11/1/2017,SD-200,-
SAID-0012192,"ITV Ice Makers, Inc.",Ice Cart,0,6/12/2024,EC-250,-
SAID-0012329,Arctic Industries,Refrigerator/Freezer,0,7/18/2024,AUC48R,-
SAID-0012219,Manitowoc Ice,"Ice Maker, Self Contained",310,6/19/2024,UYF0310A,-
SAID-0012300,Manitowoc Ice,"Ice Maker, Self Contained",140,7/13/2024,UDF0140A,-
SAID-0002548,"Hoshizaki America, Inc.",Bin,0,7/1/2015,B-800PF,-
SAID-0009089,Koolaire,Bin,0,6/11/2021,K970,-
SAID-0010264,"Hoshizaki America, Inc.",Bin,0,12/1/2021,B-1650SS,-
SAID-0012285,"Hoshizaki America, Inc.",Bin,0,7/13/2024,B-700SF,-
SAID-0001749,"Hoshizaki America, Inc.",Bin,0,4/1/2019,B-500PF,-
SAID-0012282,"Hoshizaki America, Inc.",Bin,0,7/13/2024,B-300SF,-
SAID-0012312,"Hoshizaki America, Inc.",Bin,0,7/16/2024,B-800SF,-
SAID-0012242,Koolaire,Bin,0,6/28/2024,K570,-
SAID-0012190,"ITV Ice Makers, Inc.",Ice Cart,0,6/12/2024,EC-250,-
SAID-0012318,Manitowoc Ice,Bin,0,7/17/2024,D570,-
SAID-0012315,"Hoshizaki America, Inc.",Bin,0,7/16/2027,B-700SF,-
SAID-0012241,Manitowoc Ice,Bin,0,6/28/2024,D420,-
SAID-0012218,"Hoshizaki America, Inc.",Bin,0,6/19/2024,B-700SF,-
SAID-0012299,Koolaire,Bin,0,7/13/2024,K-420,-
SAID-0001470,"Hoshizaki America, Inc.",Bin,0,4/1/2015,B-500PF,-
SAID-0012334,"Hoshizaki America, Inc.",Bin,0,2/1/2016,B-700PF,-
SAID-0012100,"Hoshizaki America, Inc.",Bin,0,5/16/2024,B-800SF,-
SAID-0010172,"Hoshizaki America, Inc.",Water and Ice Dispenser,0,7/1/2019,DM-200B,-
SAID-0011496,Scotsman Ice Systems,Undercounter Ice Maker,324,10/18/2023,UN324A,-
SAID-0012273,Arctic Industries,Preparation Table,0,6/25/2024,AST48R,-
SAID-0010263,"Hoshizaki America, Inc.",Bin,0,11/1/2021,B-1650SS,-
SAID-0001674,"Hoshizaki America, Inc.",Bin,0,5/1/2018,B-500PF,-
SAID-0012217,"Hoshizaki America, Inc.",Bin,0,6/19/2024,B-700SF,-
SAID-0001728,"Hoshizaki America, Inc.",Bin,0,2/18/2020,B-500PF,-
SAID-0012198,"Hoshizaki America, Inc.",Bin,0,6/13/2024,B-900SF,-
SAID-0010284,"Kloppenberg Products, LLC",Bin,0,5/19/2023,1045-SS,-
SAID-0012272,Arctic Industries,Undercounter Ice Maker,0,6/25/2024,AUC60R,-
SAID-0002103,"Hoshizaki America, Inc.",Bin,0,10/1/2014,B-700PF,-
SAID-0008013,"Hoshizaki America, Inc.",Ice Maker,451,11/1/2010,KML-451MWH,-
SAID-0004268,"Hoshizaki America, Inc.",Ice Maker,500,5/1/2015,IM-500SAA,-
SAID-0012287,"Hoshizaki America, Inc.",Ice Maker,500,7/13/2024,KML-500MAJ,-
SAID-0012244,Manitowoc Ice,Ice Maker,620,6/28/2024,IRT0620A,-
SAID-0003915,"Hoshizaki America, Inc.",Ice Maker,450,5/1/2012,F-450MAH,5/13/2024
SAID-0006573,"Hoshizaki America, Inc.",Ice Maker,520,11/1/2018,KM-520MAJ,-
SAID-0012290,"Hoshizaki America, Inc.",Bin,0,7/13/2024,B-900SF,7/24/2024
SAID-0012294,"Hoshizaki America, Inc.",Ice Maker,1301,7/13/2024,KM-1301SWJ,7/24/2024
SAID-0012279,Manitowoc Ice,Ice Maker,420,6/24/2024,IYT0420A,-
SAID-0008957,"ITV Ice Makers, Inc.",Ice Maker,500,10/11/2022,MS 500 A1F,-
SAID-0005423,"Hoshizaki America, Inc.",Ice Maker,1900,12/26/2017,KM-1900SAJ,-
SAID-0012314,Manitowoc Ice,Bin,0,7/16/2024,LB1460,7/24/2024
SAID-0012313,Manitowoc Ice,Ice Maker,1500,7/16/2024,IYT1500W-263,7/24/2024
SAID-0009116,Koolaire,Ice Maker,500,3/3/2021,KDT-0500A,-
SAID-0012291,"Hoshizaki America, Inc.",Ice Maker,1601,7/13/2024,KM-1601SWJ,-
SAID-0012239,"Hoshizaki America, Inc.",Ice Maker,500,6/28/2024,KML-500MAJ,-
SAID-0012297,Manitowoc Ice,Ice Maker,0,7/13/2024,UDF0240A,-
SAID-0012316,"Hoshizaki America, Inc.",Ice Maker,500,7/16/2024,IM-500SAB,-
SAID-0012284,"Hoshizaki America, Inc.",Ice Maker,500,7/13/2024,IM-500SAB,-
SAID-0012240,Manitowoc Ice,Ice Maker,620,6/28/2024,IRT0620A,-
SAID-0012286,"Hoshizaki America, Inc.",Ice Maker,500,7/13/2024,IM-500SAB,-
SAID-0012305,"Hoshizaki America, Inc.",Ice Maker,500,7/12/2024,IM-500SAB,-
SAID-0012304,"Hoshizaki America, Inc.",Ice Maker,1501,7/12/2024,F-1501MRJZ,-
SAID-0005085,"Hoshizaki America, Inc.",Ice Maker,1340,6/1/2021,KM-1340MAJ,-
SAID-0006019,"Hoshizaki America, Inc.",Ice Maker,350,7/1/2019,KM-350MAJ,-
SAID-0012307,"Hoshizaki America, Inc.",Ice Maker,500,7/12/2024,IM-500SAB,-
SAID-0012289,"Hoshizaki America, Inc.",Ice Maker,1340,7/13/2024,KM-1340MWJ,-
SAID-0008179,"Hoshizaki America, Inc.",Ice Maker,500,10/1/2018,KML-500MWJ,-
SAID-0012335,"Hoshizaki America, Inc.",Ice Maker,500,4/9/2018,IM-500SAA,-
SAID-0012317,Koolaire,Ice Maker,420,7/17/2024,KYT-0420W,-
SAID-0012257,"Hoshizaki America, Inc.",Ice Maker,1301,7/9/2024,KM-1301SWJ,-
SAID-0012319,Manitowoc Ice,Ice Maker,500,7/17/2024,IRT0500A,-
SAID-0012288,"Hoshizaki America, Inc.",Ice Maker,1340,7/13/2024,KM-1340MWJ,-
SAID-0006657,"Hoshizaki America, Inc.",Ice Maker,600,4/1/2017,KM-600MAH,-
SAID-0010086,"Hoshizaki America, Inc.",Ice Maker,340,10/1/2016,KM-340MAH,-
SAID-0008236,"Hoshizaki America, Inc.",Ice Maker,631,2/1/2017,KML-631MAH,-
SAID-0005393,"Hoshizaki America, Inc.",Ice Maker,161,2/1/2020,KM-161BAJ,-
SAID-0009526,Manitowoc Ice,"Ice Maker, Self Contained",240,6/16/2021,UYF0240W,-
SAID-0004939,"Hoshizaki America, Inc.",Ice Maker,1301,3/1/2011,KM-1301SRH3,7/23/2024
SAID-0003771,"Hoshizaki America, Inc.",Ice Maker,1001,8/1/2014,F-1001MWH-C,7/23/2024
SAID-0012332,"True Manufacturing Co., Inc.",Refrigerator/Freezer,0,11/17/2020,TBB-4G-HC-LD,-
SAID-0012333,"Hoshizaki America, Inc.",Ice Maker,1301,12/22/2020,KM-1301SAJ,-
SAID-0002482,"Hoshizaki America, Inc.",Bin,0,10/28/2016,B-800PD,-
SAID-0004701,"Hoshizaki America, Inc.",Ice Maker,1200,11/1/2015,KM-1200SWE,-
SAID-0005696,"Hoshizaki America, Inc.",Ice Maker,250,10/1/2022,KM-250BWE,-
SAID-0012331,"Hoshizaki America, Inc.",Ice Maker,1340,10/8/2018,KM-1340MWJ,-
SAID-0006492,"Hoshizaki America, Inc.",Ice Maker,515,7/1/2015,KM-515MWH,-
SAID-0006126,"Hoshizaki America, Inc.",Ice Maker,500,8/1/2003,KM-500MWH,-
SAID-0002989,"Hoshizaki America, Inc.",Bin,0,7/1/2009,B-900PF,-
SAID-0009469,Manitowoc Ice,Ice Maker,605,5/4/2011,QY0605W,-
SAID-0008761,"Hoshizaki America, Inc.",Remote Condenser,0,1/1/2011,URC-14F,-
SAID-0002715,"Hoshizaki America, Inc.",Bin,0,6/1/2009,B-800SF,-
SAID-0012311,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,7/28/2020,DCM-270BAH-OS,-
SAID-0004123,"Hoshizaki America, Inc.",Ice Maker,200,3/1/2016,IM-200BAA,-
SAID-0000140,Continental Refrigerator,Refrigerator/Freezer,0,4/6/2012,2R,-
SAID-0010227,"Hoshizaki America, Inc.",Bin,0,7/1/2018,B-700PF,-
SAID-0001742,"Hoshizaki America, Inc.",Bin,0,3/1/2019,B-500PF,-
SAID-0006592,"Hoshizaki America, Inc.",Ice Maker,520,5/1/2019,KM-520MAJ,-
SAID-0002801,"Hoshizaki America, Inc.",Bin,0,2/1/2014,B-900PF,-
SAID-0004560,"Hoshizaki America, Inc.",Ice Maker,500,8/1/2020,IM-500SAB,-
SAID-0004425,"Hoshizaki America, Inc.",Ice Maker,500,10/1/2017,IM-500SAA,-
SAID-0012232,Arctic Industries,Preparation Table,0,6/25/2024,AST48R,-
SAID-0012231,Arctic Industries,Undercounter Ice Maker,0,6/25/2024,AUC60R,-
SAID-0012230,Arctic Industries,Undercounter Ice Maker,0,6/25/2024,AUC60R,-
SAID-0012229,Arctic Industries,Refrigerator/Freezer,0,6/25/2024,AUC48R,-
SAID-0012227,Arctic Industries,Refrigerator/Freezer,0,6/25/2024,AF49,-
SAID-0012263,"Hoshizaki America, Inc.",Ice Maker,1301,1/29/2018,KM-1301SWJ,-
SAID-0012262,"Hoshizaki America, Inc.",Bin,0,4/22/1994,B-300PC,-
SAID-0011287,"Hoshizaki America, Inc.",Ice Maker,501,6/16/2006,KM-501MAH,-
SAID-0006254,"Hoshizaki America, Inc.",Ice Maker,515,4/1/2014,KM-515MAH,-
SAID-0008789,"Hoshizaki America, Inc.",Remote Condenser,0,3/1/2015,URC-20E,-
SAID-0012260,"Hoshizaki America, Inc.",Ice Maker,901,2/28/2023,KM-901MAJ,-
SAID-0000568,"Hoshizaki America, Inc.",Bin,0,7/1/2014,B-1300SS,5/13/2024
SAID-0002831,"Hoshizaki America, Inc.",Bin,0,3/1/2016,B-900PF,-
SAID-0002489,"Hoshizaki America, Inc.",Bin,0,5/1/2020,B-800PD,-
SAID-0004740,"Hoshizaki America, Inc.",Ice Maker,1300,2/1/2020,KM-1300SWF,-
SAID-0005339,"Hoshizaki America, Inc.",Ice Maker,1601,2/1/2009,KM-1601SWH,-
SAID-0005494,"Hoshizaki America, Inc.",Ice Maker,2000,3/1/2008,KM-2000SWH,-
SAID-0008279,"Hoshizaki America, Inc.",Ice Maker,700,5/1/2017,KML-700MAJ,-
SAID-0004417,"Hoshizaki America, Inc.",Ice Maker,500,12/1/2017,IM-500SAA,-
SAID-0006916,"Hoshizaki America, Inc.",Ice Maker,901,7/1/2014,KM-901MAH,-
SAID-0002890,"Hoshizaki America, Inc.",Bin,0,4/1/2018,B-900PF,-
SAID-0012238,"Hoshizaki America, Inc.",Ice Maker,801,12/17/2014,F-801MAH-C,-
SAID-0007955,"Hoshizaki America, Inc.",Ice Maker,451,11/1/2011,KML-451MWH,-
SAID-0001320,"Hoshizaki America, Inc.",Bin,0,3/1/2011,B-500PF,-
SAID-0003029,"Hoshizaki America, Inc.",Bin,0,5/1/2021,B-900SF,-
SAID-0004565,"Hoshizaki America, Inc.",Ice Maker,500,4/1/2021,IM-500SAB,-
SAID-0004564,"Hoshizaki America, Inc.",Ice Maker,500,3/1/2021,IM-500SAB,-
SAID-0010245,"Hoshizaki America, Inc.",Bin,0,11/1/2018,B-1150SS,-
SAID-0000680,"Hoshizaki America, Inc.",Bin,0,4/1/2012,B-1650SS,-
SAID-0000717,"Hoshizaki America, Inc.",Bin,0,1/1/2020,B-1650SS,-
SAID-0000646,"Hoshizaki America, Inc.",Bin,0,3/1/2013,B-1500SS,-
SAID-0012247,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,8/27/2018,DCM-270BAH,-
SAID-0000898,"Hoshizaki America, Inc.",Bin,0,4/1/2014,B-300PF,-
SAID-0001815,"Hoshizaki America, Inc.",Bin,0,3/1/2004,B-500PF,-
SAID-0001050,"Hoshizaki America, Inc.",Bin,0,11/1/2017,B-300PF,6/26/2024
SAID-0012237,"Hoshizaki America, Inc.",Ice Maker,1601,8/28/2017,KM-1601SWJ,-
SAID-0007385,"Hoshizaki America, Inc.",Ice Maker,460,6/1/2017,KMD-460MAH,-
SAID-0012236,"ITV Ice Makers, Inc.",Bin,0,8/17/2021,S-500,-
SAID-0001217,"Hoshizaki America, Inc.",Bin,0,6/17/2021,B-300SF,6/25/2024
SAID-0006062,"Hoshizaki America, Inc.",Ice Maker,350,12/1/2020,KM-350MWJ,6/25/2024
SAID-0008958,"ITV Ice Makers, Inc.",Ice Maker,500,8/17/2021,MS 500 A1H,-
SAID-0012234,"Hoshizaki America, Inc.",Ice Maker,500,9/1/2023,IM-500SAB,-
SAID-0011277,"Hoshizaki America, Inc.",Ice Maker,500,9/1/2023,IM-500SAB,10/26/2023
SAID-0000309,"Follett Products, LLC",Bin,0,5/7/2009,SG1160S-56,-
SAID-0000372,"Follett Products, LLC",Bin,0,5/17/2001,SG1350S-60,-
SAID-0004937,"Hoshizaki America, Inc.",Ice Maker,1301,8/4/2009,KM-1301SRH,-
SAID-0009864,"True Manufacturing Co., Inc.",Preparation Table,0,6/4/2019,TSSU-60-16,-
SAID-0000966,"Hoshizaki America, Inc.",Bin,0,2/1/2016,B-300PF,-
SAID-0008838,"Hoshizaki America, Inc.",Remote Condenser,0,5/1/2014,URC-22F,-
SAID-0002800,"Hoshizaki America, Inc.",Bin,0,1/1/2014,B-900PF,-
SAID-0005270,"Hoshizaki America, Inc.",Ice Maker,1601,11/1/2012,KM-1601SRH3,-
SAID-0008954,"ITV Ice Makers, Inc.",Ice Maker,500,1/4/2023,MS 500 A1F,6/24/2024
SAID-0012224,Manitowoc Ice,Ice Maker,620,11/20/2022,IDT0620A,-
SAID-0006411,"Hoshizaki America, Inc.",Ice Maker,515,11/5/2018,KM-515MAJ,-
SAID-0000896,"Hoshizaki America, Inc.",Bin,0,4/1/2014,B-300PF,6/20/2024
SAID-0003917,"Hoshizaki America, Inc.",Ice Maker,450,1/1/2014,F-450MAH,6/20/2024
SAID-0003857,"Hoshizaki America, Inc.",Ice Maker,2000,11/1/2008,F-2000MWH,-
SAID-0003862,"Hoshizaki America, Inc.",Ice Maker,2001,1/1/2015,F-2001MWH,-
SAID-0005733,"Hoshizaki America, Inc.",Ice Maker,2600,5/1/2017,KM-2600SWJ3,-
SAID-0002993,"Hoshizaki America, Inc.",Bin,0,11/1/2012,B-900PF,-
SAID-0000102,Arctic Industries,Walk-In,0,11/1/2012,Walk-in,-
SAID-0006842,"Hoshizaki America, Inc.",Ice Maker,900,7/1/2021,KM-900MWH,-
SAID-0004581,"Hoshizaki America, Inc.",Ice Maker,500,8/1/2021,IM-500SAB,-
SAID-0002414,"Hoshizaki America, Inc.",Bin,0,11/1/2022,B-700PF,-
SAID-0009530,Manitowoc Ice,"Ice Maker, Self Contained",0,6/18/2021,Walk-in,6/19/2024
SAID-0012214,"Hoshizaki America, Inc.",Ice Maker,1601,3/24/2016,KM-1601SWH,-
SAID-0012215,"Hoshizaki America, Inc.",Ice Maker,1100,12/2/2019,KM-1100MAJ,-
SAID-0006339,"Hoshizaki America, Inc.",Ice Maker,515,10/1/2016,KM-515MAH,-
SAID-0003574,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,500,6/1/2017,DCM-500BAH,-
SAID-0011558,"Hoshizaki America, Inc.",Bin,0,7/23/2018,B-250PF,-
SAID-0011700,Manitowoc Ice,Bin,0,10/4/2022,LB1460,-
SAID-0007317,"Hoshizaki America, Inc.",Ice Maker,410,7/1/2019,KMD-410MAH,-
SAID-0008544,"Hoshizaki America, Inc.",Stand,0,10/1/2017,SD-270,-
SAID-0008553,"Hoshizaki America, Inc.",Stand,0,6/1/2018,SD-270,-
SAID-0008572,"Hoshizaki America, Inc.",Stand,0,4/1/2017,SD-450,-
SAID-0008591,"Hoshizaki America, Inc.",Stand,0,6/1/2005,SD-450,-
SAID-0008916,"Hoshizaki America, Inc.",Remote Condenser,0,1/1/2018,URC-26J,-
SAID-0008917,"Hoshizaki America, Inc.",Remote Condenser,0,11/1/2018,URC-26J,-
SAID-0008199,"Hoshizaki America, Inc.",Ice Maker,600,1/1/2007,KML-600MWH,-
SAID-0006527,"Hoshizaki America, Inc.",Ice Maker,515,4/1/2008,KM-515MWH,-
SAID-0011196,Manitowoc Ice,Ice Maker,302,7/12/2018,ID0302A,3/25/2025
SAID-0008212,"Hoshizaki America, Inc.",Ice Maker,631,8/1/2013,KML-631MAH,-
SAID-0010151,"Hoshizaki America, Inc.",Ice Maker,410,7/1/2018,KMD-410MAH,-
SAID-0010145,"Hoshizaki America, Inc.",Ice Maker,410,3/1/2018,KMD-410MAH,-
SAID-0003863,"Hoshizaki America, Inc.",Ice Maker,2001,11/1/2017,F-2001MWH,-
SAID-0005693,"Hoshizaki America, Inc.",Ice Maker,2500,10/18/2022,KM-2500SWH3,-
SAID-0004910,"Hoshizaki America, Inc.",Ice Maker,1301,2/1/2020,KM-1301SAJ,6/18/2024
SAID-0000632,"Hoshizaki America, Inc.",Bin,0,5/1/2020,B-1300SS,6/18/2024
SAID-0012200,Koolaire,"Ice Maker, Self Contained",250,6/13/2024,KDF-0250A,6/18/2024
SAID-0012211,"Hoshizaki America, Inc.",Ice Maker,1601,4/29/2015,KM-1601SAH,-
SAID-0012212,"Hoshizaki America, Inc.",Ice Maker,500,1/13/2020,IM-500SAB,-
SAID-0012213,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,500,8/20/2018,DCM-500BAH,-
SAID-0012209,"Hoshizaki America, Inc.",Ice Maker,340,10/18/2019,KM-340MAJ,-
SAID-0009316,Manitowoc Ice,Ice Maker,620,5/20/2015,IDT0620A,-
SAID-0007676,"Hoshizaki America, Inc.",Ice Maker,451,2/1/2013,KML-451MAH,-
SAID-0012137,Koolaire,Ice Maker,700,5/28/2024,KDT-0700A,-
SAID-0005417,"Hoshizaki America, Inc.",Ice Maker,1900,12/1/2014,KM-1900SAH3,-
SAID-0004137,"Hoshizaki America, Inc.",Ice Maker,200,6/1/2018,IM-200BAB,-
SAID-0012130,"ITV Ice Makers, Inc.",Ice Maker,160,5/23/2024,NG160A1F,-
SAID-0004599,"Hoshizaki America, Inc.",Ice Maker,500,6/1/2022,IM-500SAB,-
SAID-0004392,"Hoshizaki America, Inc.",Ice Maker,500,3/1/2017,IM-500SAA,-
SAID-0012128,Manitowoc Ice,Ice Maker,1900,5/23/2024,IRT1900A,-
SAID-0012158,Manitowoc Ice,Ice Maker,310,6/5/2024,UYF0310A,-
SAID-0007347,"Hoshizaki America, Inc.",Ice Maker,410,12/1/2014,KMD-410MWH,-
SAID-0004238,"Hoshizaki America, Inc.",Ice Maker,500,8/1/2014,IM-500SAA,-
SAID-0010191,"Hoshizaki America, Inc.",Ice Maker,1100,6/1/2016,KM-1100MAH,-
SAID-0012098,"Hoshizaki America, Inc.",Ice Maker,660,5/16/2024,KM-660MWJ,-
SAID-0012091,Koolaire,Ice Maker,500,5/13/2024,KDT-0500A,-
SAID-0003611,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,500,2/1/2022,DCM-500BAH,-
SAID-0005860,"Hoshizaki America, Inc.",Ice Maker,301,6/1/2019,KM-301BAJ,-
SAID-0012074,Arctic Industries,Refrigerator/Freezer,0,5/8/2024,ARCB48,-
SAID-0012073,Arctic Industries,Refrigerator/Freezer,0,5/8/2024,AR23,-
SAID-0012160,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,6/5/2024,DCM-500BWH,-
SAID-0012085,Arctic Industries,Refrigerator/Freezer,0,5/13/2024,AUC48R,-
SAID-0012087,Arctic Industries,Refrigerator/Freezer,0,5/13/2024,AUC48R,-
SAID-0012185,Arctic Industries,Refrigerator/Freezer,0,6/12/2024,AF49,-
SAID-0009451,Koolaire,"Ice Maker, Self Contained",150,3/15/2021,KYF-0150A,-
SAID-0012093,"Hoshizaki America, Inc.","Ice Maker, Self Contained",50,5/14/2024,IM-50BAA-Q,-
SAID-0010659,Kold-Draft,Bin,0,1/8/2023,KDB400,-
SAID-0011658,Manitowoc Ice,Bin,0,12/6/2023,D970,-
SAID-0011606,Koolaire,Bin,0,11/27/2023,K-420,-
SAID-0012097,Manitowoc Ice,"Ice Maker, Self Contained",80,5/16/2024,UDE0080A,-
SAID-0012104,"ITV Ice Makers, Inc.","Ice Maker, Self Contained",230,5/17/2024,NG-230-A1H,-
SAID-0012207,Manitowoc Ice,"Ice Maker, Self Contained",310,11/5/2020,UYF0310A,-
SAID-0011731,"Hoshizaki America, Inc.",Bin,0,1/7/2020,B-900PF,-
SAID-0009075,Koolaire,Bin,0,6/23/2022,K570,-
SAID-0001250,"Hoshizaki America, Inc.",Bin,0,4/1/2022,B-300SF,-
SAID-0009068,Koolaire,Bin,0,3/3/2021,K570,-
SAID-0011655,"Hoshizaki America, Inc.","Ice Maker, Self Contained",50,12/6/2023,AM-50BAJ-AD,-
SAID-0012099,"Hoshizaki America, Inc.","Ice Maker, Self Contained",50,5/16/2024,IM-50BAA-Q,-
SAID-0012078,Arctic Industries,Merchandizer,0,5/10/2024,ARGDM23,-
SAID-0012117,"Blue Air FSE, LLC",Preparation Table,0,5/21/2024,BAPP67-D2L-HC,-
SAID-0002555,"Hoshizaki America, Inc.",Bin,0,3/1/2016,B-800PF,-
SAID-0009083,Koolaire,Bin,0,9/2/2021,K570,-
SAID-0012201,"True Manufacturing Co., Inc.",Preparation Table,0,6/13/2024,TSSU-27-08-HC,-
SAID-0012086,Arctic Industries,Preparation Table,0,5/13/2024,AST48R,-
SAID-0012075,Arctic Industries,Preparation Table,0,5/8/2024,AST48R,-
SAID-0012115,"Hoshizaki America, Inc.",Bin,0,4/22/2022,B-700SF,-
SAID-0012162,Arctic Industries,Preparation Table,0,6/6/2024,AST48R,-
SAID-0012089,Koolaire,Bin,0,5/13/2024,K-420,-
SAID-0001139,"Hoshizaki America, Inc.",Bin,0,2/1/2020,B-300PF,-
SAID-0010235,"Hoshizaki America, Inc.",Bin,0,10/1/2019,B-900PF,-
SAID-0012119,"Blue Air FSE, LLC",Undercounter Ice Maker,0,5/21/2024,BLUR60-D2L-HC,-
SAID-0011476,"Hoshizaki America, Inc.",Bin,0,7/17/2017,B-1300SS,-
SAID-0012118,"Blue Air FSE, LLC",Preparation Table,0,5/21/2024,BAPP67-D2L-HC,-
SAID-0002234,"Hoshizaki America, Inc.",Bin,0,4/1/2017,B-700PF,-
SAID-0012120,"Blue Air FSE, LLC",Undercounter Ice Maker,0,5/21/2024,BLUR60-D2L-HC,-
SAID-0012096,Manitowoc Ice,Bin,0,5/16/2024,D570,-
SAID-0011526,"Hoshizaki America, Inc.",Ice Maker,500,6/2/2017,KML-500MAJ,-
SAID-0004203,"Hoshizaki America, Inc.",Ice Maker,500,1/22/2014,IM-500SAA,-
SAID-0008296,"Hoshizaki America, Inc.",Ice Maker,700,10/1/2017,KML-700MAJ,-
SAID-0012090,Koolaire,Ice Maker,420,5/13/2024,KYT0420A,-
SAID-0009388,Manitowoc Ice,Ice Maker,300,11/11/2021,IYT0300A,-
SAID-0010324,"Hoshizaki America, Inc.",Remote Condenser,0,12/1/2020,SRK-12J3,-
SAID-0010331,"Hoshizaki America, Inc.",Remote Condenser,0,5/1/2022,SRK-12J3,-
SAID-0010863,"Follett Products, LLC",Bin,0,12/19/2022,SG2250-72,-
SAID-0010290,"Hoshizaki America, Inc.","Ice Maker, Self Contained",101,3/1/2017,C-101BAH,-
SAID-0010302,"Hoshizaki America, Inc.","Ice Maker, Self Contained",161,8/1/2019,KM161BWJ,-
SAID-0010303,"Hoshizaki America, Inc.","Ice Maker, Self Contained",161,10/1/2019,KM161BWJ,-
SAID-0011167,"Blue Air FSE, LLC",Refrigerator/Freezer,0,4/4/2023,BBB23-1B-HC,-
SAID-0011169,"Blue Air FSE, LLC",Refrigerator/Freezer,0,4/4/2023,BBB23-1B-HC,-
SAID-0010296,"Hoshizaki America, Inc.",Ice Maker,650,12/1/2016,FD650MRH-C,-
SAID-0002496,"Hoshizaki America, Inc.",Bin,0,11/1/2006,B-800PD,-
SAID-0004706,"Hoshizaki America, Inc.",Ice Maker,1200,2/1/2018,KM-1200SWE,-
SAID-0012161,Manitowoc Ice,Stand,0,6/5/2024,SD-271,-
SAID-0011661,Scotsman Ice Systems,Ice Maker,0,12/8/2023,FS0822W‐1,-
SAID-0010840,"Hoshizaki America, Inc.",Ice Maker,451,10/24/2016,KML-451MAH,-
SAID-0011605,Koolaire,Ice Maker,420,11/27/2023,KYT-0420A,-
SAID-0011657,Manitowoc Ice,Ice Maker,1200,12/6/2023,IDT1200W,-
SAID-0009202,Koolaire,Ice Maker,300,4/11/2022,KYT-300A,-
SAID-0012076,"Hoshizaki America, Inc.",Ice Maker,1301,5/8/2024,KM-1301SWJ,-
SAID-0009166,Koolaire,Ice Maker,500,9/2/2021,KYT-0500A,-
SAID-0006054,"Hoshizaki America, Inc.",Ice Maker,350,2/1/2022,KM-350MAJ,-
SAID-0009121,Koolaire,Ice Maker,500,6/23/2022,KDT-0500A,-
SAID-0009121,Koolaire,Ice Maker,500,6/23/2022,KDT-0500A,-
SAID-0012088,Koolaire,Ice Maker,420,5/13/2024,KDT-0420A,-
SAID-0008366,"Hoshizaki America, Inc.",Ice Maker,700,3/1/2017,KML-700MWJ,-
SAID-0005628,"Hoshizaki America, Inc.",Ice Maker,230,1/1/2019,KM-230BAJ,-
SAID-0012194,"Hoshizaki America, Inc.",Ice Maker,1002,6/12/2024,F-1002MAJ-C,6/12/2024
SAID-0012187,"Hoshizaki America, Inc.",Bin,0,6/12/2024,B-500SF,6/12/2024
SAID-0012189,"Hoshizaki America, Inc.",Ice Maker,500,6/12/2024,IM-500SAB,6/12/2024
SAID-0012188,"Hoshizaki America, Inc.",Bin,0,6/12/2024,B-900SF,6/12/2024
SAID-0012183,"Hoshizaki America, Inc.",Water and Ice Maker/Dispenser,0,12/23/2015,DCM-270BAH,-
SAID-0004465,"Hoshizaki America, Inc.",Ice Maker,500,11/1/2018,IM-500SAA,-
SAID-0007958,"Hoshizaki America, Inc.",Ice Maker,451,3/26/2012,KML-451MWH,-
SAID-0001719,"Hoshizaki America, Inc.",Bin,0,11/1/2019,B-500PF,-
SAID-0009583,MGR Equipment Corp.,Bin,0,3/1/2022,SP-700-2PC-SS,-
SAID-0002774,"Hoshizaki America, Inc.",Bin,0,7/1/2012,B-900PF,6/7/2024
SAID-0012166,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,1/17/2023,R2A-FG,-
SAID-0012173,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,3/17/2023,R2A-FS,-
SAID-0012170,"Hoshizaki America, Inc.",Refrigerator/Freezer,0,3/17/2023,R2A-FS,-
SAID-0012167,"True Manufacturing Co., Inc.",Refrigerator/Freezer,0,12/20/2021,GDM-41-HC-LD,-
SAID-0004496,"Hoshizaki America, Inc.",Ice Maker,500,12/1/2018,IM-500SAA,-
SAID-0004420,"Hoshizaki America, Inc.",Ice Maker,500,6/1/2017,IM-500SAA,-
SAID-0012154,"Hoshizaki America, Inc.",Ice Maker,650,12/18/2017,KM-650MAJ,-
SAID-0005403,"Hoshizaki America, Inc.",Ice Maker,1800,6/1/2007,KM-1800SAH3,-
SAID-0002388,"Hoshizaki America, Inc.",Bin,0,6/1/2021,B-700PF,-
SAID-0004576,"Hoshizaki America, Inc.",Ice Maker,500,10/1/2021,IM-500SAB,-
SAID-0008490,"Hoshizaki America, Inc.",Stand,0,10/1/2017,SD-200,6/4/2024
